Practice Type	Code	"Resource Concern Component (to the right)
&
Practice Name (down)"	Sheet and rill erosion	Wind erosion	Ephemeral gully erosion	Classic gully erosion	Bank erosion from streams, shorelines or water conveyance channels	Subsidence	Compaction	Organic matter depletion	Concentration of salts or other chemicals	Soil organism habitat loss or degradation	Aggregate instability	Ponding and flooding	Seasonal high water table	Seeps	Drifted snow	Moisture Management	Drought susceptibility	Surface water depletion	Groundwater depletion	Inefficient irrigation water use	Nonpoint nitrogen surface loss	Nonpoint phosphorus surface loss	Nonpoint nitrogen leaching loss	Nonpoint phosphorus leaching loss	Nonpoint pathogen surface loss'	Nonpoint pathogen loss to groundwater	Sediment from erosion sources	Nonpoint pesticide surface loss	Nonpoint pesticide drift to surface water	Nonpoint pesticide leaching loss	Concentrated nutrient and pathogen effluent from domestic animal confinement, including milkhouse waste and silage leachate	Concentrated nutrient and pathogen surface loss from domestic animals standing in surface water	Concentrated nutrient and pathogen surface loss from storage and handling of manure, compost, biosolids or non-ag food waste	Concentrated nutrient and pathogen leaching loss from domestic animal confinement, including milkhouse waste and silage leachate	Concentrated nutrient and pathogen leaching loss from storage and handling of manure, compost, biosolids or non-ag food waste	Concentrated agrichemical runoff loss from storage and handling of fertilizer and pesticides	Petroleum and other pollutant containment to surface water	Mine waste remediation and containment - surface water	Concentrated agrichemical leaching loss from storage and handling of fertilizer and pesticides	Petroleum and other pollutant containment to groundwater	Mine waste remediation and containment - groundwater	Salt loss to surface water	Salt loss to groundwater	PM - diesel engines	PM - non-engine combustion equipment	PM - open burning	PM - pesticide drift	PM - nitrogen fertilizer	PM - dust from field operations	PM - dust from unpaved roads	PM - windblown dust	PM - confined animal activities	GHGs - confined animal activities	GHGs - nitrogen fertilizer	GHGs - carbon stock	GHGs - hydric & organic soils	GHGs - grazing operations	Ozone - diesel engines	Ozone - non-engine combustion equipment	Ozone - confined animal activities	Ozone - open burning	Ozone - pesticides	Odor - confined animal activity	Odor - nitrogen fertilizer	Reactive nitrogen - open burning	Reactive nitrogen - nitrogen fertilizer	Reactive nitrogen - confined animal activities	Plant pest pressure	Chemical resistance	Invasive species	Plant productivity and health	Plant structure and composition 	Wildfire hazard from biomass accumulation	Feed and forage balance	Inadequate livestock shelter	Inadequate livestock water quantity, quality and distribution	Terrestrial habitat for wildlife and invertebrates	Aquatic habitat for fish and other organisms	Water temperature effects on aquatic habitat	Energy efficiency of equipment and facilities	Energy efficiency of farming/ranching practices and field operations
A	201	Edge-of-Field Water Quality Monitoring-Data Collection and Evaluation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	202	Edge-of-Field Water Quality Monitoring-System Installation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	297	Feral Swine Management Conservation Activity - Interim	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B	B000BFF1	Buffer Bundle#1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B	B000CPL10	YEAR 1 Irrigated Cropland (MRBI/Ogallala)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B	B000CPL11	YEAR 2+ Irrigated Cropland (MRBI/Ogallala)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B	B000CPL12	Non-Irrigated Precision Ag (MRBI)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B	B000CPL13	Non-Irrigated Cropland (MRBI)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B	B000CPL14	YEAR 1 Irrigated Precision Ag Cropland (MRBI)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B	B000CPL15	YEAR 2+ Irrigated Precision Ag Cropland (MRBI)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
